Formula,Name,Page number,bare_formula,phase_tag,reduced_formula,material_id,match_method,phase_name_verified,spacegroup,cod_id,cod_sg,cif_file
3PbO*PbSO4,TETRALEAD TRIOXIDE SULFATE,1299,3PbO*PbSO4,,Pb4SO7,,no_mp_match,,,,,
4PbO*PbS04,PENTALEAD TETRAOXIDE SULFATE,1300,4PbO*PbS04,,Pb5(SO)4,,no_mp_match,,,,,
Pb4SiO6,TETRALEAD SILICATE,1302,Pb4SiO6,,Si(Pb2O3)2,,no_mp_match,,,,,
PtBr2,PLATINUM DIBROMIDE,1332,PtBr2,,PtBr2,,no_mp_match,,,,,
PtBr4,PLATINUM TETRABROMIDE,1333,PtBr4,,PtBr4,,no_mp_match,,,,,
PuC0.88,PLUTONIUM 0.88-CARBIDE,1342,PuC0.88,,Pu17C15,,no_mp_match,,,,,
PuF6,PLUTONIUM HEXAFLUORIDE,1347,PuF6,,PuF6,,no_mp_match,,,,,
Pu(SO4)2,PLUTONIUM DISULFATE,1358,Pu(SO4)2,,Pu(SO4)2,,no_mp_match,,,,,
Rb3AsO4,RUBIDIUM ARSENATE,1362,Rb3AsO4,,Rb3AsO4,,no_mp_match,,,,,
Rb2Si4O9,RUBIDIUM TETRASILICATE,1377,Rb2Si4O9,,Rb2Si4O9,,no_mp_match,,,,,
ReAsO4,RHENIUM ARSENATE,1383,ReAsO4,,ReAsO4,,no_mp_match,,,,,
ReBr3,RHENIUM TRIBROMIDE,1383,ReBr3,,ReBr3,,no_mp_match,,,,,
Re2S7,DIRHENIUM HEPTASULFIDE,1386,Re2S7,,Re2S7,,no_mp_match,,,,,
Si5Th3,5-SILICON 3-THORIUM,1516,Si5Th3,,Th3Si5,,no_mp_match,,,,,
Sn3(AsO4)2,TRITIN ARSENATE,1540,Sn3(AsO4)2,,Sn3(AsO4)2,,no_mp_match,,,,,
TaO2Cl,TANTALUM CHLORIDE DIOXIDE,1608,TaO2Cl,,TaClO2,,no_mp_match,,,,,
TcO3,TECHNETIUM TRIOXIDE,1623,TcO3,,TcO3,,no_mp_match,,,,,
ThC1.94,THORIUM 1.94-CARBIDE,1644,ThC1.94,,Th17C33,,no_mp_match,,,,,
ThOBr2,THORIUM DIBROMIDE OXIDE,1659,ThOBr2,,ThBr2O,,no_mp_match,,,,,
ThOCl2,THORIUM DICHLORIDE OXIDE,1659,ThOCl2,,ThCl2O,,no_mp_match,,,,,
ThOF2,THORIUM DIFLUORIDE OXIDE,1660,ThOF2,,ThOF2,,no_mp_match,,,,,
ThOl2,THORIUM DIIODIDE OXIDE,1660,ThOI2,,ThI2O,,no_mp_match,,,,,
Ti3(AsO4)2,TRITITANIUM DIARSENATE,1668,Ti3(AsO4)2,,Ti3(AsO4)2,,no_mp_match,,,,,
Tl2Se,THALLIUM SELENIDE,1716,Tl2Se,,Tl2Se,,no_mp_match,,,,,
UC1.94,URANIUM 1.94-CARBIDE,1732,UC1.94,,U17C33,,no_mp_match,,,,,
UOBr2,URANIUM DIBROMIDE OXIDE,1748,UOBr2,,UBr2O,,no_mp_match,,,,,
UOBr3,URANIUM TRIBROMIDE OXIDE,1749,UOBr3,,UBr3O,,no_mp_match,,,,,
UO2Br2,URANIUM DIBROMIDE DIOXIDE,1749,UO2Br2,,U(BrO)2,,no_mp_match,,,,,
UOCl,URANIUM CHLORIDE OXIDE,1750,UOCl,,UClO,,no_mp_match,,,,,
UOCl3,URANIUM TRICHLORIDE OXIDE,1751,UOCl3,,UCl3O,,no_mp_match,,,,,
VN0.465,VANADIUM 0.465-NITRIDE,1773,VN0.465,,V15N7,,no_mp_match,,,,,
ZnSO4*2H2O,ZINC SULFATE DIHYDRATE,1846,ZnSO4*2H2O,,ZnH4SO6,,no_mp_match,,,,,
ZnSO4*6H2O,ZINC SULFATE HEXAHYDRATE,1846,ZnSO4*6H2O,,ZnH12SO10,,no_mp_match,,,,,
ZrF2,ZIRCONIUM DIFLUORIDE,1867,ZrF2,,ZrF2,,no_mp_match,,,,,
ZrF3,ZIRCONIUM TRIFLUORIDE,1868,ZrF3,,ZrF3,,no_mp_match,,,,,
Ca5Si6O17*10.5w,5-CALCIUM 6-SILICATE 10.5-HYDRATE,469,Ca5Si6O17*10.5w,,,,unparseable_formula,,,,,
