Formula,Name,Page number
BCI2[9],BORON DICHLORIDE (GAS),112
As3{g],ARSENIC (GAS),78
BCI3{g],BORON TRICHLORIDE (GAS),113
As4{g],ARSENIC (GAS),79
BF[g],BORON MONOFLUORIDE (GAS),114
AsBr3{g],ARSENIC BROMIDE (GAS),79
BF2{g],BORON DIFLUORIDE (GAS),115
AsCi3,ARSENIC CHLORIDE,80
BF3i{g],BORON TRIFLUORIDE (GAS),116
AsCi3[g],ARSENIC CHLORIDE (GAS),80
BHig],BORON MONOHYDRIDE (GAS),117
AsF3,ARSENIC FLUORIDE,81
B2H6{g],DIBORANE (GAS),117
AsF3{g],ARSENIC FLUORIDE (GAS),81
Bl{g],BORON MONOIODIDE (GAS),118
AsF5{g],ARSENIC PENTAFLUORIDE (GAS),82
Bl2(g},BORON DIIODIDE (GAS),119
AsH3{g],ARSENIC HYDRIDE,83
BISig],BORON TRIIODIDE (GAS),120
Asi3,ARSENIC IODIDE,83
BN,BORON NITRIDE,121
Asl3[g],ARSENIC IODIDE (GAS),84
B203,BORON OXIDE,122
AsO[g],ARSENIC MONOXIDE (GAS),84
B203{g],BORON OXIDE (IDEAL GAS),123
As203,ARSENIC OXIDE (CLAUDETITE),85
B203[GL},BORON OXIDE (GLASS),124
As203[A],ARSENIC OXIDE (ARSENOLITE),85
BOCIig],BORON CHLORIDE OXIDE (GAS),125
As205,DIARSENIC PENTAOXIDE,86
BP,BORON MONOPHOSPHIDE,125
As406[g],TETRAARSENIC HEXAOXIDE (GAS),86
BS{g],BORON MONOSULFIDE (GAS),126
AsS{g],ARSENIC MONOSULFIDE (GAS),87
B2S3,DIBORON TRISULFIDE,126
As2S2,DIARSENIC DISULFIDE,87
Ba,BARIUM,127
As2S3,ARSENIC SULFIDE,88
Bag],BARIUM (GAS),128
As484,TETRAARSENIC TETRASULFIDE,88
Ba3(AsO04)2,BARIUM ARSENATE,129
As4S4ig],TETRAARSENIC TETRASULFIDE (GAS),89
BaBr2,BARIUM BROMIDE,130
As4S4iR],TETRAARSENIC TETRASULFIDE (REALGAR),89
BaBr2{g],BARIUM BROMIDE (GAS),131
AsSe(g],ARSENIC MONOSELENIDE (GAS),90
BaC2,BARIUM DICARBIDE,132
As2Se3,ARSENIC SELENIDE,90
BaCO3,BARIUM CARBONATE,133
AsTe[g],ARSENIC MONOTELLURIDE (GAS),91
BaCl[g],BARIUM MONOCHLORIDE (GAS),134
As2Te3,ARSENIC TELLURIDE,91
BaCl2,BARIUM CHLORIDE,135
Au,GOLD,92
BaCl2{g],BARIUM CHLORIDE (GAS),136
Au(g],GOLD (GAS),93
BaCr04,BARIUM CHROMATE,137
Au3AsO4,TRIGOLD ARSENATE,94
BaF[g],BARIUM MONOFLUORIDE (GAS),138
AuBr,GOLD MONOBROMIDE,94
BaF2,BARIUM FLUORIDE,139
AuCd,GOLD CADMIUM,95
BaF2{g],BARIUM FLUORIDE (GAS),140
AuCl,GOLD MONOCHLORIDE,95
BaH([g],BARIUM MONOHYDRIDE (GAS),141
AuCi3,GOLD TRICHLORIDE,96
BaH2,BARIUM HYDRIDE,142
AuCu,GOLD COPPER,96
Bal(g],BARIUM MONOIODIDE (GAS),143
AuCu3,GOLD 3-COPPER,97
Bal2,BARIUM IODIDE,144
AuF3,GOLD TRIFLUORIDE,97
Bal2{g],BARIUM IODIDE (GAS),145
Aul,GOLD MONOIODIDE,98
BaMoO04,BARIUM MOLYBDATE,146
Au203,DIGOLD TRIOXIDE,98
Ba3N2,TRIBARIUM DINITRIDE,146
Au(OH)3,GOLD TRIHYDROXIDE (PRECIPITATED),99
Ba(NO3)2,BARIUM NITRATE,147
Au2P3,DIGOLD TRIPHOSPHIDE,99
BaO,BARIUM OXIDE,148
Aus{g],GOLD MONOSULFIDE (GAS),100
BaO2,BARIUM PEROXIDE,149
AuSb2,GOLD 2-ANTIMONY,100
BaAl204,BARIUM DIALUMINIUM TETRAOXIDE,149
AuSe,GOLD MONOSELENIDE (ALPHA),101
Ba3Al206,TRIBARIUM DIALUMINIUM HEXAOXIDE,150
AuSe[B],GOLD MONOSELENIDE (BETA),101
Ba(OH)2,BARIUM HYDROXIDE,151
AuSn,GOLD TIN,102
Ba(OH)2[g],BARIUM HYDROXIDE (GAS),152
AuSn2,GOLD 2-TIN,102
BaHf03,BARIUM HAFNIUM TRIOXIDE,152
AuSn4,GOLD 4-TIN,103
BaSi03,BARIUM METASILICATE,153
AuTe2,GOLD DITELLURIDE,103
BaSi205,BARIUM DISILICATE,154
B,BORON (BETA),104
Ba2Si04,BARIUM ORTHOSILICATE,155
Big],BORON (GAS),105
Ba2Si308,DIBARIUM TRISILICATE,156
BIGL],BORON (GLASS),106
BaTiO3,BARIUM TITANIUM TRIOXIDE,157
BBr(g],BORON MONOBROMIDE (GAS),107
Ba2Ti04,DIBARIUM TITANIUM TETRAOXIDE,158
BBr2[g],BORON DIBROMIDE (GAS),108
BaUO4,BARIUM URANATE,158
BBr3,BORON TRIBROMIDE,108
BaZr03,BARIUM ZIRCONIUM TRIOXIDE,159
BBr3[g},BORON TRIBROMIDE (GAS),109
BaS,BARIUM SULFIDE,160
B4C,TETRABORON MONOCARBIDE,110
BaSO4,BARIUM SULFATE,161
BCl[g],BORON MONOCHLORIDE (GAS),111
Ba2Sn,2-BARIUM TIN,161
BaTe,BARIUM TELLURIDE,162
Bi2S3,BISMUTH SULFIDE,203
BaWw04,BARIUM TUNGSTATE,162
Bi2(S04)3,BISMUTH SULFATE,203
Be,BERYLLIUM,163
Bi2Se3,BISMUTH SELENIDE,204
Beg],BERYLLIUM (GAS),164
Bi2Te3,BISMUTH TELLURIDE,204
Be3(AsO4)2,BERYLLIUM ARSENATE,165
BiU,BISMUTH URANIUM,205
BeBrig],BERYLLIUM MONOBROMIDE (GAS),165
Bi2U,2-BISMUTH URANIUM,205
BeBr2,BERYLLIUM BROMIDE,166
Bi4U3,4-BISMUTH 3-URANIUM,206
BeBr2{g],BERYLLIUM BROMIDE (GAS),166
Brig],BROMINE (GAS),207
Be2C,DIBERYLLIUM CARBIDE,167
Br2,BROMINE,207
BeCllg],BERYLLIUM MONOCHLORIDE (GAS),168
Br2{g],BROMINE (GAS),208
BeCl2,BERYLLIUM CHLORIDE,169
C,CARBON (GRAPHITE),209
BeCl2[g],BERYLLIUM CHLORIDE (GAS),170
C{g],CARBON (GAS),210
Be2Cl4{g],DIBERYLLIUM TETRACHLORIDE (GAS),171
C[D],BeF{g] BERYLLIUM MONOFLUORIDE (GAS),172
C2{g],CARBON (GAS),212
BeF2,BERYLLIUM FLUORIDE,173
C3ig],CARBON (GAS),213
BeF2[g],BERYLLIUM FLUORIDE (GAS),174
CBr{g],BROMOMETHYLIDYNE (GAS),214
BeH{g],BERYLLIUM MONOHYDRIDE (GAS),175
CBr2{g},CARBON DIBROMIDE (GAS),215
Bel[g],BERYLLIUM MONOIODIDE (GAS),176
CBr3[g],CARBON TRIBROMIDE (GAS),216
Bel2,BERYLLIUM IODIDE,176
CBr4{g],TETRABROMOMETHANE (GAS),217
Bel2ig],BERYLLIUM IODIDE (GAS),177
CBri3ig],BROMOTRIIODOMETHANE (GAS),218
Be3N2,ALPHA BERYLLIUM NITRIDE,178
CBr2l2[g],DIBROMODIIODOMETHANE (GAS),219
BeO,BERYLLIUM OXIDE,179
CBr3l[g],TRIBROMOIODOMETHANE (GAS),220
BeAl204,BERYLLIUM DIALUMINIUM TETRAOXIDE,180
CCNig],CARBON CARBIDE-NITRIDE (GAS),221
BeAl6010,BERYLLIUM HEXAALUMINIUM DECAOXIDE,181
CCl[g],CHLOROMETHYLIDYNE (GAS),222
Be3B206,TRIBERYLLIUM DIBORATE,182
CCl2ig],DICHLOROMETHYLENE (GAS),223
BeOH{g],BERYLLIUM MONOHYDROXIDE (GAS),183
CCI3[g],TRICHLOROMETHYL (GAS),224
Be(OH)2,BERYLLIUM HYDROXIDE (ALPHA},183
CCI4,TETRACHLOROMETHANE,224
Be(OH)2[B],BERYLLIUM HYDROXIDE (BETA),184
CCi4ig],TETRACHLOROMETHANE (GAS),225
Be(OH)2(g],BERYLLIUM HYDROXIDE (GAS),184
C2C\[g],DICARBON CHLORIDE (GAS),226
Be2Si04,BERYLLIUM SILICATE (PHENACITE),185
C2Ci2\g],DICHLOROACETYLENE (GAS),227
BeS,BERYLLIUM SULFIDE,186
C2C13[g],DICARBON TRICHLORIDE (GAS),228
BeSig],BERYLLIUM SULFIDE (GAS),187
C2Ci4{g],TETRACHLOROETHENE (GAS),229
BeS04,BERYLLIUM SULFATE,188
C2Cl5{g],PENTACHLOROETHYL (GAS),230
BeSO4*2H20,BERYLLIUM SULFATE DIHYDRATE,188
C2Cl6[g},HEXACHLOROETHANE (GAS),231
BeSO4*4H20,BERYLLIUM SULFATE TETRAHYDRATE,189
CCIBr3{g],CHLOROTRIBROMOMETHANE (GAS),232
