Formula,Name,Page number
CaBr[g],CALCIUM MONOBROMIDE (GAS),419
CaBr2,CALCIUM BROMIDE,420
CaBr2[g],CALCIUM BROMIDE (GAS),421
CaC2,CALCIUM DICARBIDE,422
CaCN2,CALCIUM CYANAMIDE,423
CaCO3,CALCIUM CARBONATE (CALCITE),423
CaCO3[A],CALCIUM CARBONATE (ARAGONITE),424
CaMg(CO3)2,DOLOMITE,424
CaCl[g],CALCIUM MONOCHLORIDE (GAS),425
CaCl2,CALCIUM CHLORIDE,426
CaCl2[g],CALCIUM CHLORIDE (GAS),427
CaF[g],CALCIUM MONOFLUORIDE (GAS),428
CaF2,CALCIUM FLUORIDE,429
CaF2[g],CALCIUM FLUORIDE (GAS),430
CaH[g],CALCIUM MONOHYDRIDE (GAS),431
CaH2,CALCIUM HYDRIDE,432
CaHPO4,CALCIUM HYDROGEN PHOSPHATE,433
CaHPO4*2H2O,CALCIUM HYDROGEN PHOS. DIHYDRATE,433
CaI[g],CALCIUM MONOIODIDE (GAS),434
CaI2,CALCIUM IODIDE,435
CaI2[g],CALCIUM IODIDE (GAS),436
CaMg2,CALCIUM 2-MAGNESIUM,436
CaMoO4,CALCIUM MOLYBDATE,437
Ca3N2,TRICALCIUM DINITRIDE,437
Ca(NO3)2,CALCIUM NITRATE,438
Ca(NO3)2*2H2O,CALCIUM NITRATE DIHYDRATE,438
Ca(NO3)2*3H2O,CALCIUM NITRATE TRIHYDRATE,439
Ca(NO3)2*4H2O,CALCIUM NITRATE TETRAHYDRATE,439
CaO,CALCIUM OXIDE,440
CaO[g],CALCIUM OXIDE (GAS),441
CaO2,CALCIUM PEROXIDE,442
CaAl2O4,CALCIUM 2-ALUMINIUM 4-OXIDE,442
CaAl4O7,CALCIUM 4-ALUMINIUM 7-OXIDE,443
Ca2Al2O5,2-CALCIUM 2-ALUMINIUM 5-OXIDE,444
Ca3Al2O6,3-CALCIUM 2-ALUMINIUM 6-OXIDE,445
Ca12Al14O33,12-CALCIUM 14-ALUMINIUM 33-OXIDE,445
Ca3Al2O6*6H2O,3-CALCIUM 2-ALUMIN. 6-OXIDE 6-HYDRATE,446
CaAl2SiO6,PYROXENE,446
CaAl2Si2O8,ANORTHITE,447
Ca2Al2SiO7,GEHLENITE,448
Ca8Al2SiO12,GROSSULAR,448
CaAl2Si2O8*2H2O,LAWSONITE,449
CaB2O4,CALCIUM DIBORATE,449
CaB4O7,CALCIUM TETRABORATE,450
Ca2B2O5,DICALCIUM DIBORATE,451
Ca3B2O6,TRICALCIUM DIBORATE,452
Ca(OCl)Cl,CALCIUM CHLORIDE HYPOCHLORITE,452
CaFe2O4,CALCIUM DIIRON TETRAOXIDE,453
Ca2Fe2O5,DICALCIUM DIIRON PENTAOXIDE,453
CaOH[g],CALCIUM MONOHYDROXIDE (GAS),454
Ca(OH)2,CALCIUM HYDROXIDE,455
CaHfO3,CALCIUM HAFNIUM TRIOXIDE,455
CaMgO2,CALCIUM MAGNESIUM DIOXIDE,456
CaMgSiO4,MONTICELLITE,457
CaMgSi2O6,DIOPSIDE,458
Ca2MgSi2O7,AKERMANITE,459
Ca3MgSi2O8,MERWINITE,460
Ca2Mg5Si8O23*H2O,TREMOLITE,460
CaSiO3,WOLLASTONITE,461
CaSiO3[B],PSEUDOWOLLASTONITE,462
Ca2SiO4,OLIVINE,463
Ca2SiO4[B],LARNITE,464
Ca3SiO5,TRICALCIUM SILICATE,464
Ca3Si2O7,TRICALCIUM DISILICATE (RANKINITE),465
CaSi2O5*2H2O,CALCIUM 2-SILICATE 2-HYDRATE,465
Ca2Si3O8*2.5H2O,2-CALCIUM 3-SILICATE 5/2-HYDRATE,466
Ca2SiO4*7/6H2O,CALCIUM ORTHOSILICATE 7/6-HYDRATE,466
Ca3Si2O7*3H2O,TRICALCIUM DISILICATE TRIHYDRATE,467
Ca4Si3O10*1.5H2O,4-CALCIUM 3-SILICATE 3/2-HYDRATE,467
Ca5Si6O17*3H2O,5-CALCIUM 6-SILICATE 3-HYDRATE,468
Ca5Si6O17*5.5H2O,5-CALCIUM 6-SILICATE 5.5-HYDRATE,468
Ca5Si6O17*10.5w,5-CALCIUM 6-SILICATE 10.5-HYDRATE,469
Ca6Si6O18*H2O,6-CALCIUM 6-SILICATE HYDRATE,469
CaTiO3,CALCIUM TITAN. TRIOXIDE (PEROVSKITE),470
Ca3Ti2O7,3-CALCIUM 2-TITANIUM 7-OXIDE,471
Ca4Ti3O10,4-CALCIUM 3-TITANIUM 10-OXIDE,472
CaTiSiO5,SPHENE,473
CaUO4,CALCIUM URANATE,474
CaZrO3,CALCIUM ZIRCONIUM TRIOXIDE,475
Ca3P2,TRICALCIUM DIPHOSPHIDE,476
Ca2P2O7,CALCIUM PYROPHOSPHATE,477
Ca3(PO4)2,CALCIUM PHOSPHATE,478
CaPb,CALCIUM LEAD,479
Ca2Pb,2-CALCIUM LEAD,479
CaS,CALCIUM SULFIDE,480
CaS[g],CALCIUM SULFIDE (GAS),481
CaSO3,CALCIUM SULFITE,482
CaSO4,CALCIUM SULFATE,483
CaSO3*0.5H2O,CALCIUM SULFITE HEMIHYDRATE,484
CaSO4*0.5H2O,CALCIUM SULFATE HEMIHYDRATE,484
Ca3Sb2,3-CALCIUM 2-ANTIMONY,485
CaSO4*2H2O,CALCIUM SULFATE DIHYDRATE (GYPSUM),485
CaSe,CALCIUM SELENIDE,486
CaSi,CALCIUM SILICON,486
CaSi2,CALCIUM 2-SILICON,487
Ca2Si,2-CALCIUM SILICON,487
CaSn,CALCIUM TIN,488
Ca2Sn,2-CALCIUM TIN,488
CaTe,CALCIUM TELLURIDE,489
Ca(VO3)2,CALCIUM METAVANADATE,489
Ca2V2O7,CALCIUM PYROVANADATE,490
Ca3(VO4)2,CALCIUM ORTHOVANADATE,490
CaWO4,CALCIUM TUNGSTATE,491
Ca3WO6,CALCIUM ORTHOTUNGSTATE,491
CaZn,CALCIUM ZINC,492
CaZn2,CALCIUM 2-ZINC,492
Cd,CADMIUM,493
Cd[g],CADMIUM (GAS),493
Cd3As2,CADMIUM ARSENIDE,494
Cd3(AsO4)2,CADMIUM ARSENATE,494
CdBr2,CADMIUM BROMIDE,495
CdCO3,CADMIUM CARBONATE,495
CdCl2,CADMIUM CHLORIDE,496
CdF2,CADMIUM FLUORIDE,497
CdI2,CADMIUM IODIDE,498
CdO,CADMIUM OXIDE,498
CdO[g],CADMIUM OXIDE(GAS),499
CdAl2O4,CADMIUM DIALUMINIUM TETRAOXIDE,499
CdGa2O4,CADMIUM DIGALLIUM TETRAOXIDE,500
Cd(OH)2,CADMIUM HYDROXIDE,500
CdSiO3,CADMIUM METASILICATE,501
CdTiO3,CADMIUM TITANIUM TRIOXIDE,501
CdS,CADMIUM SULFIDE,502
CdS[g],CADMIUM SULFIDE (GAS),502
CdSO4,CADMIUM SULFATE,503
CdSb,CADMIUM ANTIMONY,504
CdSe,CADMIUM SELENIDE,504
CdSeO3,CADMIUM SELENITE,505
CdTe,CADMIUM TELLURIDE,505
Cd11U,11-CADMIUM URANIUM,506
CdWO4,CADMIUM TUNGSTATE,506
Ce,CERIUM,507
Ce[g],CERIUM (GAS),508
CeB6,CERIUM HEXABORIDE,509
CeBr3,CERIUM BROMIDE,510
CeBr3[g],CERIUM BROMIDE (GAS),511
CeC2,CERIUM DICARBIDE,511
Ce2C3,DICERIUM TRICARBIDE,512
CeCl3,CERIUM CHLORIDE,512
CeCl3[g],CERIUM CHLORIDE (GAS),513
CeF3,CERIUM FLUORIDE,514
CeF3[g],CERIUM FLUORIDE (GAS),515
CeH2,CERIUM DIHYDRIDE,515
CeI3,CERIUM IODIDE,516
CeI3[g],CERIUM IODIDE (GAS),517
CeMg,CERIUM MAGNESIUM,517
CeN,CERIUM NITRIDE,518
CeO2,CERIUM DIOXIDE,519
Ce2O3,CERIUM OXIDE,519
CeAlO3,CERIUM ALUMINIUM TRIOXIDE,520
CeCrO3,CERIUM CHROMIUM TRIOXIDE,520
CeS,CERIUM MONOSULFIDE,521
Ce2S3,CERIUM SULFIDE,522
Ce3S4,TRICERIUM TETRASULFIDE,522
Ce2(SO4)3,CERIUM SULFATE,523
CeTe[g],CERIUM MONOTELLURIDE (GAS),523
Cl[g],CHLORINE (GAS),524
Cl2[g],CHLORINE (GAS),525
ClCN[g],CARBON NITRIDE CHLORIDE (GAS),526
ClF[g],CHLORINE MONOFLUORIDE (GAS),527
ClF3[g],CHLORINE TRIFLUORIDE (GAS),528
ClO[g],CHLORINE MONOXIDE (GAS),529
Cl2O[g],DICHLORINE MONOXIDE (GAS),530
Co,COBALT,531
Co[g],COBALT (GAS),532
Co3(AsO4)2,COBALT ARSENATE,533
CoB,COBALT MONOBORIDE,533
Co2B,DICOBALT BORIDE,534
CoBr2,COBALT DIBROMIDE,534
CoCO3,COBALT CARBONATE,535
CoCl[g],COBALT MONOCHLORIDE (GAS),535
CoCl2,COBALT DICHLORIDE,536
CoCl2[g],COBALT DICHLORIDE (GAS),537
CoCl3[g],COBALT TRICHLORIDE (GAS),538
Co2Cl4[g],DICOBALT TETRACHLORIDE (GAS),539
CoF2,COBALT DIFLUORIDE,540
CoF2[g],COBALT DIFLUORIDE (GAS),541
CoF3,COBALT TRIFLUORIDE,541
CoI2,COBALT DIIODIDE,542
Co3N,TRICOBALT NITRIDE,542
CoO,COBALT MONOXIDE,543
Co3O4,TRICOBALT TETRAOXIDE,544
CoCr2O4,COBALT DICHROMIUM TETRAOXIDE,544
CoFe2O4,COBALT DIIRON TETRAOXIDE,545
Co(OH)2,COBALT HYDROXIDE (PRECIPITATED),545
Co2SiO4,DICOBALT SILICATE,546
CoTiO3,COBALT TITANIUM TRIOXIDE,547
Co2TiO4,DICOBALT TITANIUM TETRAOXIDE,548
CoP,COBALT MONOPHOSPHIDE,548
CoP3,COBALT TRIPHOSPHIDE,549
Co2P,DICOBALT PHOSPHIDE,549
CoS0.89,COBALT 0.89-SULFIDE,550
CoS2,COBALT DISULFIDE,550
Co3S4,TRICOBALT TETRASULFIDE,551
CoSO4,COBALT SULFATE,551
CoSb0.98,COBALT 0.98-ANTIMONY,552
CoSb2,COBALT 2-ANTIMONY,552
CoSb3,COBALT 3-ANTIMONY,553
CoSeO3,COBALT SELENITE,553
CoSn,COBALT TIN,554
CoWO4,COBALT TUNGSTATE,554
Cr,CHROMIUM,555
Cr[g],CHROMIUM (GAS),556
Cr3(AsO4)2,TRICHROMIUM ARSENATE,557
CrAsO4,CHROMIUM ARSENATE,557
CrB,CHROMIUM MONOBORIDE,558
CrB2,CHROMIUM DIBORIDE,558
CrBr2,CHROMIUM DIBROMIDE,559
CrBr3,CHROMIUM TRIBROMIDE,559
CrBr4[g],CHROMIUM TETRABROMIDE (GAS),560
Cr3C2,3-CHROMIUM 2-CARBIDE,560
Cr7C3,7-CHROMIUM 3-CARBIDE,561
Cr23C6,23-CHROMIUM 6-CARBIDE,562
Cr(CO)6,CHROMIUM HEXACARBONYL,562
CrCl2,CHROMIUM DICHLORIDE,563
CrCl3,CHROMIUM TRICHLORIDE,563
CrCl4[g],CHROMIUM TETRACHLORIDE (GAS),564
CrF2,CHROMIUM DIFLUORIDE,564
CrF3,CHROMIUM TRIFLUORIDE,565
CrF4,CHROMIUM TETRAFLUORIDE,565
CrI2,CHROMIUM DIIODIDE,566
CrI3,CHROMIUM TRIIODIDE,566
CrN,CHROMIUM NITRIDE,567
Cr2N,DICHROMIUM NITRIDE,567
Cr2Nb,2-CHROMIUM NIOBIUM,568
CrO[g],CHROMIUM MONOXIDE (GAS),569
CrO2,CHROMIUM DIOXIDE,570
CrO2[g],CHROMIUM DIOXIDE (GAS),570
CrO3,CHROMIUM TRIOXIDE,571
CrO3[g],CHROMIUM TRIOXIDE (GAS),572
Cr2O3,DICHROMIUM TRIOXIDE,573
CrO2Cl2[g],CHROMIUM DICHLORIDE DIOXIDE (GAS),574
Cr2FeO4,DICHROMIUM IRON TETRAOXIDE,575
Cr2MgO4,DICHROMIUM MAGNESIUM TETRAOXIDE,576
Cr2NiO4,DICHROMIUM NICKEL TETRAOXIDE,577
CrNaO2,CHROMIUM SODIUM DIOXIDE,577
CrS,CHROMIUM MONOSULFIDE,578
CrS1.17,CHROMIUM 1.17-SULFIDE,579
Cr2(SO4)3,CHROMIUM SULFATE,579
CrSi,CHROMIUM SILICON,580
CrSi2,CHROMIUM 2-SILICON,580
Cr3Si,3-CHROMIUM SILICON,581
Cr5Si3,5-CHROMIUM 3-SILICON,582
Cr2Ta,2-CHROMIUM TANTALUM,583
Cs,CESIUM,583
Cs[g],CESIUM (GAS),584
Cs2[g],CESIUM (GAS),585
Cs3AsO4,CESIUM ARSENATE,585
CsBr,CESIUM BROMIDE,586
CsBr[g],CESIUM BROMIDE (GAS),587
Cs2CO3,CESIUM CARBONATE,587
CsCl,CESIUM CHLORIDE,588
CsCl[g],CESIUM CHLORIDE (GAS),589
Cs2Cl2[g],DICESIUM DICHLORIDE (GAS),590
CsF,CESIUM FLUORIDE,591
CsF[g],CESIUM FLUORIDE (GAS),592
Cs2F2[g],DICESIUM DIFLUORIDE (GAS),593
CsI,CESIUM IODIDE,594
CsI[g],CESIUM IODIDE (GAS),595
CsO[g],CESIUM MONOXIDE (GAS),596
CsO2,CESIUM DIOXIDE,596
Cs2O,CESIUM OXIDE,597
Cs2O[g],CESIUM OXIDE (GAS),597
Cs2O3,DICESIUM TRIOXIDE,598
CsOH,CESIUM HYDROXIDE,598
CsOH[g],CESIUM HYDROXIDE (GAS),599
Cs2(OH)2[g],DICESIUM DIHYDROXIDE (GAS),600
Cs2SO4,CESIUM SULFATE,601
Cu,COPPER,602
Cu[g],COPPER (GAS),603
Cu3As,TRICOPPER ARSENIDE,604
Cu3AsO4,TRICOPPER ARSENATE,604
Cu3(AsO4)2,TRICOPPER DIARSENATE,605
CuBr,COPPER MONOBROMIDE,606
CuBr[g],COPPER MONOBROMIDE (GAS),607
CuBr2,COPPER DIBROMIDE,607
Cu3Br3[g],TRICOPPER TRIBROMIDE (GAS),608
CuCN,COPPER CYANIDE,608
CuCl,COPPER MONOCHLORIDE,609
CuCl[g],COPPER MONOCHLORIDE (GAS),610
CuCl2,COPPER DICHLORIDE,610
Cu3Cl3[g],TRICOPPER TRICHLORIDE (GAS),611
CuF,COPPER MONOFLUORIDE,611
CuF[g],COPPER MONOFLUORIDE (GAS),612
CuF2,COPPER DIFLUORIDE,613
CuF2[g],COPPER DIFLUORIDE (GAS),614
CuFeS2,COPPER IRON DISULFIDE,615
Cu5FeS4,PENTACOPPER IRON TETRASULFIDE,616
CuI,COPPER MONOIODIDE,617
CuI[g],COPPER MONOIODIDE (GAS),618
Cu3I3[g],TRICOPPER TRIIODIDE (GAS),618
CuMg2,1-COPPER 2-MAGNESIUM,619
Cu2Mg,2-COPPER 1-MAGNESIUM,619
CuMoO4,COPPER MOLYBDATE,620
CuO,COPPER MONOXIDE,620
CuO[g],COPPER MONOXIDE (GAS),621
Cu2O,DICOPPER OXIDE,622
CuFeO2,COPPER IRON DIOXIDE,623
CuFe2O4,COPPER DIIRON TETRAOXIDE,624
Cu(OH)2,COPPER HYDROXIDE,624
Cu2OSO4,DICOPPER OXIDE SULFATE,625
CuP2,COPPER DIPHOSPHIDE,625
Cu3P,TRICOPPER PHOSPHIDE,626
CuS,COPPER SULFIDE,626
CuS[g],COPPER SULFIDE (GAS),627
Cu2S,DICOPPER SULFIDE,628
CuSO4,COPPER SULFATE,629
Cu2SO4,DICOPPER SULFATE,629
CuSO4*H2O,COPPER SULFATE MONOHYDRATE,630
CuSO4*3H2O,COPPER SULFATE TRIHYDRATE,630
CuSO4*5H2O,COPPER SULFATE PENTAHYDRATE,631
Cu2Sb,2-COPPER ANTIMONY,631
CuSe,COPPER SELENIDE,632
Cu2Se[B],DICOPPER SELENIDE,632
CuSeO3,COPPER SELENITE,633
CuTe,COPPER TELLURIDE,633
Cu2Te,DICOPPER TELLURIDE,634
D[g],DEUTERIUM (GAS),635
D2[g],DEUTERIUM (GAS),636
DCl[g],HYDROGEN CHLORIDE-D1 (GAS),637
DF[g],HYDROGEN FLUORIDE-D1 (GAS),638
DH[g],HYDROGEN-D1 (GAS),639
D2O,WATER-D2,640
D2O[g],WATER-D2 (GAS),641
DS[g],HYDROGEN MONOSULFIDE-D1 (GAS),642
D2S[g],HYDROGEN SULFIDE-D2 (GAS),643
Dy,DYSPROSIUM,644
Dy[g],DYSPROSIUM (GAS),645
DyBr3[g],DYSPROSIUM BROMIDE (GAS),646
DyCl3,DYSPROSIUM CHLORIDE,646
DyCl3[g],DYSPROSIUM CHLORIDE (GAS),647
DyCl3*6H2O,DYSPROSIUM CHLORIDE HEXAHYDRATE,647
DyF3,DYSPROSIUM FLUORIDE,648
DyF3[g],DYSPROSIUM FLUORIDE (GAS),649
DyI3[g],DYSPROSIUM IODIDE (GAS),650
Dy2O3,DYSPROSIUM OXIDE,651
Er,ERBIUM,652
Er[g],ERBIUM (GAS),653
ErBr3[g],ERBIUM BROMIDE (GAS),654
ErCl3,ERBIUM CHLORIDE,655
ErCl3[g],ERBIUM CHLORIDE (GAS),656
ErCl3*6H2O,ERBIUM CHLORIDE HEXAHYDRATE,656
ErF3,ERBIUM FLUORIDE,657
ErF3[g],ERBIUM FLUORIDE (GAS),658
ErI3[g],ERBIUM IODIDE (GAS),659
Er2O3,ERBIUM OXIDE (CUBIC),660
Eu,EUROPIUM,661
Eu[g],EUROPIUM (GAS),662
EuBr2,EUROPIUM DIBROMIDE,663
EuBr2[g],EUROPIUM DIBROMIDE (GAS),663
EuBr3,EUROPIUM BROMIDE,664
EuCl3,EUROPIUM CHLORIDE,664
EuCl3*6H2O,EUROPIUM CHLORIDE HEXAHYDRATE,665
EuCl3[g],EUROPIUM CHLORIDE (GAS),665
EuF3,EUROPIUM FLUORIDE,666
EuF3[g],EUROPIUM FLUORIDE (GAS),667
Eu2O3,EUROPIUM OXIDE (CUBIC),667
Eu2O3[M],EUROPIUM OXIDE (MONOCLINIC),668
EuS,EUROPIUM MONOSULFIDE,669
EuS[g],EUROPIUM MONOSULFIDE (GAS),670
F[g],FLUORINE (GAS),671
F2[g],FLUORINE (GAS),672
FCN[g],CARBON NITRIDE-FLUORIDE (GAS),673
FClCO[g],CARBON OXIDE-FLUORIDE-CHLORIDE (GAS),674
Fe,IRON,675
Fe[g],IRON (GAS),676
Fe3(AsO4)2,TRIIRON DIARSENATE,677
FeAsO4,IRON ARSENATE,677
FeB,IRON MONOBORIDE,678
Fe2B,DIIRON BORIDE,679
FeBr2,IRON DIBROMIDE,680
FeBr2[g],IRON DIBROMIDE (GAS),681
FeBr3,IRON TRIBROMIDE,681
Fe2Br4[g],DIIRON TETRABROMIDE (GAS),682
Fe3C,TRIIRON CARBIDE,683
FeCO3,IRON CARBONATE,683
Fe(CO)5,IRON PENTACARBONYL,684
Fe(CO)5[g],IRON PENTACARBONYL (GAS),684
FeCl[g],IRON MONOCHLORIDE (GAS),685
FeCl2,IRON DICHLORIDE,686
FeCl2[g],IRON DICHLORIDE (GAS),687
FeCl3,IRON TRICHLORIDE,687
FeCl3[g],IRON TRICHLORIDE (GAS),688
Fe2Cl4[g],DIIRON TETRACHLORIDE (GAS),689
Fe2Cl6[g],DIIRON HEXACHLORIDE (GAS),690
FeF2,IRON DIFLUORIDE,691
FeF2[g],IRON DIFLUORIDE (GAS),692
FeF3,IRON TRIFLUORIDE,692
FeF3[g],IRON TRIFLUORIDE (GAS),693
Fel2,IRON DIIODIDE,694
Fel2[g],IRON DIIODIDE (GAS),695
Fe2l4[g],DIIRON TETRAIODIDE (GAS),696
Fe3Mo2,3-IRON 2-MOLYBDENUM,697
FeMoO4,IRON MOLYBDATE,697
Fe4N,TETRAIRON NITRIDE,698
Fe0.947O,WUESTITE,699
FeO,IRON MONOXIDE,700
FeO[g],IRON MONOXIDE (GAS),701
Fe2O3,HEMATITE,702
Fe3O4,MAGNETITE,703
FeAl2O4,IRON DIALUMINIUM TETRAOXIDE,704
FeOCl,IRON CHLORIDE OXIDE,704
Fe(OH)2,IRON DIHYDROXIDE,705
Fe(OH)3,IRON TRIHYDROXIDE,705
Fe2O3*H2O,IRON TRIOXIDE HYDRATE (GOETHITE),706
Fe2MgO4,DIIRON MAGNESIUM TETRAOXIDE,706
Fe2MnO4,DIIRON MANGANESE TETRAOXIDE,707
FeNaO2,IRON SODIUM DIOXIDE,708
Fe2NiO4,DIIRON NICKEL TETRAOXIDE,709
FePO4,IRON PHOSPHATE,710
FePO4*2H2O,IRON PHOSPHATE DIHYDRATE (STRENGITE),711
FeSiO3,IRON METASILICATE,712
Fe2SiO4,IRON ORTHOSILICATE (FAYALITE),713
FeTiO3,IRON TITANIUM TRIOXIDE (ILMENITE),714
Fe2TiO4,DIIRON TITANIUM TETROXIDE,715
FeV2O4,IRON DIVANADIUM TETRAOXIDE,716
Fe2ZnO4,DIIRON ZINC TETRAOXIDE,716
Fe0.877S,PYRRHOTITE,717
FeS,IRON MONOSULFIDE,718
FeS[g],IRON MONOSULFIDE (GAS),719
FeS2,IRON DISULFIDE,720
FeSO4,IRON SULFATE,720
Fe2(SO4)3,DIIRON TRISULFATE,721
FeSe0.96,IRON 0.96-SELENIDE,721
FeSi,IRON SILICON,722
FeSi2,LEBOITE (BETA),722
FeSi2.33,LEBOITE (ALPHA),723
Fe2Ta,2-IRON TANTALUM,723
FeTe0.9,IRON 0.9-TELLURIDE,724
FeTe2,IRON DITELLURIDE,724
FeTi,IRON TITANIUM,725
Fe2U,2-IRON URANIUM,726
Fe(VO3)2,IRON VANADATE,726
FeWO4,IRON TUNGSTATE,727
Ga,GALLIUM,728
Ga[g],GALLIUM (GAS),729
GaAs,GALLIUM ARSENIDE,730
GaAsO4,GALLIUM ARSENATE,730
GaCl[g],GALLIUM MONOCHLORIDE (GAS),731
GaBr3,GALLIUM BROMIDE,731
GaCl2[g],GALLIUM DICHLORIDE (GAS),732
GaCl3,GALLIUM CHLORIDE,732
GaCl3[g],GALLIUM CHLORIDE (GAS),733
Ga2Cl6[g],DIGALLIUM HEXACHLORIDE (GAS),734
GaF[g],GALLIUM MONOFLUORIDE (GAS),735
GaF2[g],GALLIUM DIFLUORIDE (GAS),736
GaF3,GALLIUM FLUORIDE,737
GaF3[g],GALLIUM FLUORIDE (GAS),738
Gal3,GALLIUM IODIDE,738
GaN,GALLIUM NITRIDE,739
GaO[g],GALLIUM MONOXIDE (GAS),740
Ga2O3,GALLIUM OXIDE,742
GaP,GALLIUM PHOSPHIDE,743
GaS,GALLIUM MONOSULFIDE,743
Ga2S[g],DIGALLIUM SULFIDE (GAS),744
Ga2S3,DIGALLIUM TRISULFIDE,744
GaSb,GALLIUM ANTIMONY,745
GaSe,GALLIUM MONOSELENIDE,745
Ga2Se3,DIGALLIUM TRISELENIDE,746
Ga2(SeO4)3,GALLIUM SELENATE,746
GaTe,GALLIUM MONOTELLURIDE,747
Ga2Te3,DIGALLIUM TRITELLURIDE,747
Gd,GADOLINIUM,748
Gd[g],GADOLINIUM (GAS),749
GdBr3,GADOLINIUM BROMIDE,750
GdBr3[g],GADOLINIUM BROMIDE (GAS),751
GdCl3,GADOLINIUM CHLORIDE,752
GdCl3[g],GADOLINIUM CHLORIDE (GAS),753
GdF3,GADOLINIUM FLUORIDE,754
GdF3[g],GADOLINIUM FLUORIDE (GAS),755
GdI3,GADOLINIUM IODIDE,756
GdI3[g],GADOLINIUM IODIDE (GAS),757
Gd2O3,GADOLINIUM OXIDE (CUBIC),758
Gd2O3[M],GADOLINIUM OXIDE (MONOCLINIC),759
GdOCl,GADOLINIUM CHLORIDE OXIDE,759
Ge,GERMANIUM,760
Ge[g],GERMANIUM (GAS),761
GeBr4[g],GERMANIUM TETRABROMIDE (GAS),762
GeCl[g],GERMANIUM MONOCHLORIDE (GAS),762
GeCl2[g],GERMANIUM DICHLORIDE (GAS),763
GeCl3[g],GERMANIUM TRICHLORIDE (GAS),764
GeCl4[g],GERMANIUM TETRACHLORIDE (GAS),765
GeF[g],GERMANIUM MONOFLUORIDE (GAS),766
GeF2[g],GERMANIUM DIFLUORIDE (GAS),767
GeF3[g],GERMANIUM TRIFLUORIDE (GAS),768
GeF4[g],GERMANIUM TETRAFLUORIDE (GAS),769
GeH4[g],GERMANIUM TETRAHYDRIDE (GAS),770
GeI4[g],GERMANIUM TETRAIODIDE (GAS),770
GeMg2,GERMANIUM 2-MAGNESIUM,771
GeNi2,GERMANIUM 2-NICKEL,771
GeO[g],GERMANIUM MONOXIDE (GAS),772
GeO2,GERMANIUM DIOXIDE,773
GeP,GERMANIUM PHOSPHIDE,774
GeS,GERMANIUM MONOSULFIDE,774
GeS[g],GERMANIUM MONOSULFIDE (GAS),775
GeS2,GERMANIUM DISULFIDE,776
GeSe,GERMANIUM MONOSELENIDE,776
GeSe[g],GERMANIUM MONOSELENIDE (GAS),777
GeSe2,GERMANIUM DISELENIDE,777
GeTe,GERMANIUM MONOTELLURIDE,778
GeU,GERMANIUM URANIUM,778
Ge2U,2-GERMANIUM URANIUM,779
Ge3U,3-GERMANIUM URANIUM,779
Ge3U5,3-GERMANIUM 5-URANIUM,780
Ge5U3,5-GERMANIUM 3-URANIUM,780
H[g],HYDROGEN (GAS),781
H2[g],HYDROGEN (GAS),782
HBO2,METABORIC ACID,783
HBO2[g],METABORIC ACID (GAS),783
H3BO3,BORIC ACID,784
H3BO3[g],BORIC ACID (GAS),784
HBr[g],HYDROGEN BROMIDE (GAS),785
HCCN[g],DICARBON HYDRIDE-NITRIDE (GAS),786
HCN[g],HYDROGEN CYANIDE (GAS),787
HCl[g],HYDROGEN CHLORIDE (GAS),788
HClCO[g],CARBON OXIDE-HYDRIDE-CHLORIDE (GAS),789
HF[g],HYDROGEN FLUORIDE (GAS),790
HFCO[g],CARBON OXIDE-HYDRIDE-FLUORIDE (GAS),791
HI[g],HYDROGEN IODIDE (GAS),792
HNC[g],NITROGEN HYDRIDE-CARBIDE (GAS),793
HNCO[g],ISOCYANIC ACID (GAS),794
HNO3[g],NITRIC ACID (GAS),795
H2O,WATER,795
H2O[g],WATER (GAS),796
H2O2,HYDROGEN PEROXIDE,797
H2O2[g],HYDROGEN PEROXIDE (GAS),797
HDO[g],WATER-D1 (GAS),798
H3PO4,PHOSPHORIC ACID,799
HS[g],HYDROGEN MONOSULFIDE (GAS),800
H2S[g],HYDROGEN SULFIDE (GAS),801
H2S2[g],DIHYDROGEN DISULFIDE (GAS),801
H2SO4,SULFURIC ACID,802
H2SO4[g],SULFURIC ACID (GAS),802
H2Se[g],HYDROGEN SELENIDE (GAS),803
H2Te[g],HYDROGEN TELLURIDE (GAS),804
H2WO4,TUNGSTIC ACID,804
H2WO4[g],TUNGSTIC ACID (GAS),805
He[g],HELIUM (GAS),806
Hf,HAFNIUM,807
Hf[g],HAFNIUM (GAS),809
HfB2,HAFNIUM DIBORIDE,810
HfBr4,HAFNIUM TETRABROMIDE,810
HfBr4[g],HAFNIUM TETRABROMIDE (GAS),811
HfC,HAFNIUM CARBIDE,812
HfCl2[g],HAFNIUM DICHLORIDE (GAS),813
HfCl3[g],HAFNIUM TRICHLORIDE (GAS),814
HfCl4,HAFNIUM TETRACHLORIDE,814
HfCl4[g],HAFNIUM TETRACHLORIDE (GAS),815
HfF4,HAFNIUM TETRAFLUORIDE,815
HfF4[g],HAFNIUM TETRAFLUORIDE (GAS),816
HfI4,HAFNIUM TETRAIODIDE,816
HfI4[g],HAFNIUM TETRAIODIDE (GAS),817
HfN,HAFNIUM NITRIDE,817
HfO2,HAFNIUM DIOXIDE,818
HfSrO3,HAFNIUM STRONTIUM TRIOXIDE,819
Hg,MERCURY,819
Hg[g],MERCURY (GAS),820
