Formula,Name,Page number,bare_formula,phase_tag,reduced_formula,material_id,match_method,phase_name_verified,spacegroup
CH3Cl[g],CHLOROMETHANE (GAS),323,CH3Cl,g,,,gas_phase_organic,,
C2HCl[g],CHLOROACETYLENE (GAS),324,C2HCl,g,,,gas_phase_organic,,
C2HCl3[g],TRICHLOROETHYLENE (GAS),325,C2HCl3,g,,,gas_phase_organic,,
C2H2Cl2[g],DICHLOROETHYLENE (GAS),326,C2H2Cl2,g,,,gas_phase_organic,,
"C2H2Cl2[1,1][g]","1,1-DICHLOROETHYLENE (GAS)",327,C2H2Cl2,g,,,gas_phase_organic,,
C2H2Cl2I[cis][g],CIS-DICHLOROETHYLENE (GAS),328,C2H2Cl2I,g,,,gas_phase_organic,,
C2H2Cl2[trans][g],TRANS-DICHLROROETHYLENE (GAS),329,C2H2Cl2,g,,,gas_phase_organic,,
C2H3Cl[g],CHLOROETHENE (GAS),330,C2H3Cl,g,,,gas_phase_organic,,
C2H5Cl[g],CHLOROETHANE (GAS),330,C2H5Cl,g,,,gas_phase_organic,,
CHClBr2[g],CHLORODIBROMOMETHANE (GAS),331,CHClBr2,g,,,gas_phase_organic,,
CHCl2Br[g],DICHLOROBROMOMETHANE (GAS),332,CHCl2Br,g,,,gas_phase_organic,,
CH2ClBr[g],CHLOROBROMOMETHANE (GAS),333,CH2ClBr,g,,,gas_phase_organic,,
CHClBrI[g],CHLOROBROMOIODOMETHANE (GAS),334,CHClBrI,g,,,gas_phase_organic,,
CHClI2[g],CHLORODIIODOMETHANE (GAS),335,CHClI2,g,,,gas_phase_organic,,
CHCl2I[g],DICHLOROIODOMETHANE (GAS),336,CHCl2I,g,,,gas_phase_organic,,
CH2ClI[g],CHLOROIODOMETHANE (GAS),337,CH2ClI,g,,,gas_phase_organic,,
C12H4Cl4O2[g],"2, 3, 7, 8-TETRACHLORODIBENZEDIOXIN",338,C12H4Cl4O2,g,,,gas_phase_organic,,
C12H4Cl4O2[g],"2, 3, 7, 8-TETRACHLORODIBENZEDIOXIN (GAS)",339,C12H4Cl4O2,g,,,gas_phase_organic,,
CHF[g],FLUOROMETHYLENE (GAS),340,CHF,g,,,gas_phase_organic,,
CHF2[g],DIFLUOROMETHYL (GAS),341,CHF2,g,,,gas_phase_organic,,
